Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ANTONIO PINHEIRO BEZERRIL,24045810,RN,Lagoa d'Anta,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA SANTA TEREZINHA, 45 CENTRO. 59227-000 Lagoa d'Anta - RN.",(84) 32870991,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-6.3916157,-35.5969993
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO TOMAS NETO,24045926,RN,Lagoa de Pedras,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SANTO ANTONIO, CENTRO. 59244-000 Lagoa de Pedras - RN.",(84) 36920991,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.150656,-35.4374078
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DELZUITE MARIA SOARES DA COSTA,24046108,RN,Lagoa Salgada,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DOM JOAQUIM DE ALMEIDA, CENTRO. 59247-000 Lagoa Salgada - RN.",(84) 32570995,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.1204866,-35.479884
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR GASPAR,24046361,RN,Monte Alegre,Urbana,A escola não está em área de localização diferenciada,Pública,"PCA VEREADOR PEDRO ALVES, CENTRO. 59182-000 Monte Alegre - RN.",(84) 32763698,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-6.06834812,-35.33201
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ALBERTO MARANHAO,24046736,RN,Nova Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 1 DE MAIO, 82 CENTRO. 59215-000 Nova Cruz - RN.",(84) 32815906,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DJALMA MARINHO,24046744,RN,Nova Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ASSIS CHATEAUBRIAND, 1500 SAO SEBASTIAO. 59215-000 Nova Cruz - RN.",(84) 32815907,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.4860549,-35.428966
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MARIA AURINEIDE DA SILVA,24046752,RN,Nova Cruz,Rural,A escola não está em área de localização diferenciada,Pública,"SITIO LAGOA SECA, ZONA RURAL. 59215-000 Nova Cruz - RN.",(84) 994482652,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.469538,-35.46454
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PRESIDENTE GETULIO VARGAS,24046779,RN,Nova Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SENADOR GEORGINO AVELINO, 348 ALTO DE S SEBASTIAO. 59215-000 Nova Cruz - RN.",(84) 986314120,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-6.482853,-35.43003
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA FIRMA FRANCELINA DE OLIVEIRA,24046795,RN,Nova Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JORGE FELIPE DA SILVA, 71 SAO SEBASTIAO. 59215-000 Nova Cruz - RN.",(84) 991039823,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ROSA PIGNATARO,24046817,RN,Nova Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PROF REGINALDO DE OLIVEIRA, 250 SAO SEBASTIAO. 59215-000 Nova Cruz - RN.",(84) 32815911,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-6.479135,-35.43406
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DEPUTADO DJALMA ARANHA MARINHO,24047341,RN,Passa e Fica,Urbana,A escola não está em área de localização diferenciada,Pública,"JOAO FERNANDES SOBRINHO, 135 CENTRO. 59218-000 Passa e Fica - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL SENADOR JOAO CAMARA,24047384,RN,Passa e Fica,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO ARRUDA CAMARA, 1347 CENTRO. 59218-000 Passa e Fica - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ANTONIO DE OLIVEIRA FAGUNDES,24047589,RN,Passagem,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA VEREADOR MANOEL B DE LIMA, CENTRO. 59259-000 Passagem - RN.",(84) 981717583,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA HERONDINA CALDAS,24047708,RN,Serra Caiada,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PADRE ANTONIO VILELA DANTAS, 165 CENTRO. 59245-000 Serra Caiada - RN.",(84) 32930184,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.104376,-35.71339
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MANOEL SEVERIANO,24047953,RN,Riachuelo,Urbana,A escola não está em área de localização diferenciada,Pública,"AV PRESIDENTE GETULIO VARGAS, CENTRO. 59470-000 Riachuelo - RN.",(84) 32690990,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-5.8143173,-35.8232606
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ALEXANDRE CELSO GARCIA,24048160,RN,Santo Antônio,Urbana,A escola não está em área de localização diferenciada,Pública,"R MAR FLORIANO, 239 CENTRO. 59255-000 Santo Antônio - RN.",(84) 999140689,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DR MANOEL DANTAS ENS 1 GRAU,24048194,RN,Santo Antônio,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA LINDOLFO GOMES VIDAL, 376 CENTRO. 59255-000 Santo Antônio - RN.",(84) 98277143,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-6.312326,-35.47921
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE FILOMENA DE AZEVEDO,24048208,RN,Santo Antônio,Urbana,A escola não está em área de localização diferenciada,Pública,"AV DR PEDRO VELHO, 10 CENTRO. 59255-000 Santo Antônio - RN.",(84) 32824926,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE JULIA AUTA DE OLIVEIRA,24048216,RN,Santo Antônio,Rural,A escola não está em área de localização diferenciada,Pública,"RUA DEP JOSE LUCIO RIBEIRO, REDENCAO. 59255-000 Santo Antônio - RN.",(84) 99470991,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.274934,-35.42395
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MAURICIO FREIRE,24048739,RN,São Paulo do Potengi,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE CLAUDINO, 35 SANTOS DUMONT. 59460-000 São Paulo do Potengi - RN.",(84) 32514972,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.89559056,-35.7664184
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL SENADOR DINARTE MARIZ,24048747,RN,São Paulo do Potengi,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE CLAUDINO, 98 SANTOS DUMONT. 59460-000 São Paulo do Potengi - RN.",(84) 32514969,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.8951823,-35.7663171
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DEMETRIO URBANO,24049190,RN,Santa Maria,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO JORGE TORRES, CENTRO. 59464-000 Santa Maria - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-5.8343628,-35.6934881
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR PEDRO ALEXANDRINO,24049247,RN,São Pedro,Urbana,A escola não está em área de localização diferenciada,Pública,"R MANOEL FELIX, CENTRO. 59480-000 São Pedro - RN.",(84) 32542086,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-5.89883143,-35.63421954
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DESEMBARGADOR VICENTE LEMOS,24049549,RN,Senador Elói de Souza,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DALMERIO MAURICIO, 25 CENTRO. 59250-000 Senador Elói de Souza - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.0369967,-35.690778
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOMITILA NORONHA,24049727,RN,Serrinha,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE CORREIA DE ANDRADE, 36 CENTRO. 59258-000 Serrinha - RN.",(84) 32840188,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-6.279877,-35.49429
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOM JOAQUIM DE ALMEIDA,24050113,RN,Várzea,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOM JOAQUIM DE ALMEIDA, 4 CENTRO. 59185-000 Várzea - RN.",(84) 997036275,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-6.3474864,-35.3751614
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO BERNARDO,24050253,RN,Jundiá,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DA MATRIZ, CENTRO. 59188-000 Jundiá - RN.",(84) 32855101,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-6.26710911,-35.32771488
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MONSENHOR PAIVA,24050318,RN,Vera Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA 31 DE MARCO, 111 CENTRO. 59184-000 Vera Cruz - RN.",(84) 32750351,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-6.0461247,-35.4304747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL SANTA LUZIA,24050326,RN,Vera Cruz,Rural,A escola não está em área de localização diferenciada,Pública,"RUA CICERO ALVES DE OLIVEIRA, 78 CONJUNTO. ZONA RURAL. 59184-000 Vera Cruz - RN.",(84) 32755114,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-6.038794904,-35.37539804
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MARCILIO TEIXEIRA,24050741,RN,Pedra Grande,Urbana,A escola não está em área de localização diferenciada,Pública,"AVSEVERINO FERREIRA, 561 CENTRO. 59588-000 Pedra Grande - RN.",(84) 988035580,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-5.1506277,-35.877162
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MARIA ANTONIA,24050881,RN,Pureza,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DOUTOR JOSE VARELA, 200 CENTRO. 59582-000 Pureza - RN.",(84) 32660992,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.465985485,-35.5571791
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ADAO MARCELO DA ROCHA,24051080,RN,Taipu,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CANDIDO MARCOLINO, 25 ALTO DA BELA VISTA. 59565-000 Taipu - RN.",(84) 992110112,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,,-5.623525,-35.5993283
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAQUIM NABUCO,24051101,RN,Taipu,Urbana,A escola não está em área de localização diferenciada,Pública,"R ANTONIO ALVES DA ROCHA, 306 CENTRO. 59565-000 Taipu - RN.",(84) 99257373,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.62081704,-35.5969933
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR CLOTILDE DE MOURA LIMA,24051110,RN,Taipu,Urbana,A escola não está em área de localização diferenciada,Pública,"R ANTONIO GOMES DA COSTA, 398 CENTRO. 59565-000 Taipu - RN.",(84) 994342393,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.62162902,-35.59589566
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CORONEL ANTONIO DO LAGO,24051470,RN,Touros,Urbana,A escola não está em área de localização diferenciada,Pública,"R CEL ANTONIO ANTUNES, 54 CENTRO. 59584-000 Touros - RN.",(84) 99036058,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-5.20009802,-35.45943299
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE TAB JULIO MARIA,24051527,RN,Touros,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PRAIA DOS MARCOS, 101 CENTRO. 59584-000 Touros - RN.",,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-5.19539794,-35.46423225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL AUGUSTO XAVIER DE GOIS ENSINO MEDIO EM TEMPO INTEGRAL,24052086,RN,Ceará-Mirim,Rural,A escola não está em área de localização diferenciada,Pública,"RUA AUGUSTO GERMANO, PRAIA DE MURIU, 0 MURIU. 59570-000 Ceará-Mirim - RN.",,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL BARAO DE CEARA MIRIM,24052094,RN,Ceará-Mirim,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PEDRO DE OLIVEIRA CORREIA, 95 SANTA AGUEDA. 59570-000 Ceará-Mirim - RN.",(84) 991715865,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-5.63233321,-35.42428834
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ENEAS CAVALCANTI,24052140,RN,Ceará-Mirim,Urbana,A escola não está em área de localização diferenciada,Pública,"TRAVESSA MANOEL MARQUES, 427 CENTRO. 59570-000 Ceará-Mirim - RN.",(84) 32745983,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-5.639876667,-35.42345667
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL GENERAL JOAO VARELA,24052159,RN,Ceará-Mirim,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA GENERAL JOAO VARELA, 949 CENTRO. 59570-000 Ceará-Mirim - RN.",(84) 32743834,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.63980301,-35.42369584
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL INTERVENTOR UBALDO BEZERRA DE MELO,24052167,RN,Ceará-Mirim,Urbana,A escola não está em área de localização diferenciada,Pública,"AV ENEAS CAVALCANTI, 1290 CENTRO. 59570-000 Ceará-Mirim - RN.",(84) 32745986,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-5.642672572,-35.42487734
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MONSENHOR CELSO CICCO,24052175,RN,Ceará-Mirim,Urbana,A escola não está em área de localização diferenciada,Pública,"AV ENEAS CAVALCANTE, 1525 CENTRO. 59570-000 Ceará-Mirim - RN.",(84) 32745984,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-5.645571667,-35.42371333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL IMACULADA CONCEICAO,24052680,RN,Ceará-Mirim,Urbana,A escola não está em área de localização diferenciada,Pública,"R HERACLIO VILAR, 725 SANTA AGUEDA. 59570-000 Ceará-Mirim - RN.",(84) 32745982,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-5.63555416,-35.42145789
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE ALFREDO MESQUITA FILHO ENS 1 E 2 GRAUS,24052884,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"R CAMPO SANTO, CENTRO. 59286-253 Macaíba - RN.",(84) 32716832,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-5.8560905,-35.3584043
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ARCELINA FERNANDES,24052892,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"R DR PEDRO MATOS, 443 CENTRO. 59280-370 Macaíba - RN.",(84) 32716833,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL AUTA DE SOUZA,24052914,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DINARTE JOSE PINHEIRO BORGES, 13 CENTRO. 59280-208 Macaíba - RN.",(84) 32716834,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-5.857269,-35.3517
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,E E DEPUTADO JESSE PINTO FREIRE FILHO,24052949,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DR GERALDO PINHEIRO, CAMPO DA MANGUEIRA. 59288-408 Macaíba - RN.",(84) 32716839,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.852649,-35.36036
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR JOAO CHAVES,24052965,RN,Macaíba,Rural,A escola não está em área de localização diferenciada,Pública,"SITIO MANGABEIRA, CENTRO. 59281-440 Macaíba - RN.",(84) 36318055,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.847777,-35.31
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL HENRIQUE CASTRICIANO DE SOUZA,24052973,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA OSCAR PINHEIRO, CENTRO. 59280-307 Macaíba - RN.",(84) 32714982,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL OTACILIO ALECRIM,24052990,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARITIMO JOAO LAU, CENTRO. 59280-595 Macaíba - RN.",(84) 32716847,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.849717,-35.34889
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR PAULO NOBRE,24053007,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"R PROFº CAETANO, 400 CENTRO. 59280-214 Macaíba - RN.",(84) 32716837,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-5.859063,-35.34819
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR SEVERIANO,24053155,RN,Macaíba,Urbana,A escola não está em área de localização diferenciada,Pública,"R DR HERACLITO VILAR, 100 CENTRO. 59280-226 Macaíba - RN.",(84) 32716846,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-5.8596962,-35.3478676
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ANA DUARTE LOPES,24053805,RN,Nísia Floresta,Rural,A escola não está em área de localização diferenciada,Pública,"RUA DA FLORESTA, POVOADO DE ALCACUZ. 59164-000 Nísia Floresta - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.001220965,-35.13822252
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL NISIA FLORESTA,24053821,RN,Nísia Floresta,Urbana,A escola não está em área de localização diferenciada,Pública,"R PADRE JOSE HERMINIO, 60 CENTRO. 59164-000 Nísia Floresta - RN.",(84) 32773876,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-6.089863704,-35.20771224
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FRANCISCO CAMILO DE SOUZA,24053830,RN,Nísia Floresta,Rural,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO FRANCISCO, 7878 DISTRITO RURAL. COLONIA DO PIUM. 59164-000 Nísia Floresta - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-5.959962644,-35.16290297
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ADELIA GURGEL,24053848,RN,Nísia Floresta,Rural,A escola não está em área de localização diferenciada,Pública,"POVOADO CAMPO DE SANTANA, S/N CAMPO DE SANTANA. 59164-000 Nísia Floresta - RN.",(84) 981110304,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-6.11159629,-35.12867711
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSOR MANOEL LAURENTINO,24053856,RN,Nísia Floresta,Rural,A escola não está em área de localização diferenciada,Pública,"RUA AGNELO XAVIER, 62 PORTO. 59164-000 Nísia Floresta - RN.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ALCEU EMILIANO DA SILVA,24053864,RN,Nísia Floresta,Rural,A escola não está em área de localização diferenciada,Pública,"RUA CENTRAL, BARRA DE TABATINGA. 59164-000 Nísia Floresta - RN.",(84) 32302150,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-6.060980922,-35.10282937
