Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL UBIRATAN GALVAO,24018384,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"R JOAQUIM TORQUATO, 90 SAO JUDAS TADEU. 59900-000 Pau dos Ferros - RN.",(84) 33514432,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-6.114668333,-38.20970333
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FRANCISCO NUNES,24018422,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA CARLOTO TAVORA, 1117 SAO BENEDITO. 59900-000 Pau dos Ferros - RN.",(84) 996057028,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.119101,-38.2049344
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PATRONATO ALFREDO FERNANDES,24018635,RN,Pau dos Ferros,Urbana,A escola não está em área de localização diferenciada,Pública,"PCA CONEGO CAMINHA, 23 ALTO DO ACUDE. 59900-000 Pau dos Ferros - RN.",,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-6.11095,-38.21201
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DESEMBARGADOR SINVAL MOREIRA DIAS,24018716,RN,Pilões,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE BEZERRA, 268 CENTRO. 59960-000 Pilões - RN.",(84) 33840112,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL 29 DE MARCO,24018872,RN,Portalegre,Urbana,A escola não está em área de localização diferenciada,Pública,"AV HIPOLITO FIALHO, 120 CENTRO. 59810-000 Portalegre - RN.",(84) 33772101,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.024393,-37.99142
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MARGARIDA DE FREITAS,24018910,RN,Portalegre,Urbana,A escola não está em área de localização diferenciada,Pública,"PRACA VICENTE DO REGO FILHO, 188 CENTRO. 59810-000 Portalegre - RN.",(84) 996215520,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-6.02438188,-37.98696307
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL BERNARDINO RODRIGUES,24019194,RN,Rafael Fernandes,Rural,A escola não está em área de localização diferenciada,Pública,"SITIO GANGORRA, ZONA RURAL. 59990-000 Rafael Fernandes - RN.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-6.226025,-38.250295
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MANO MARCELINO,24019224,RN,Rafael Fernandes,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE MARTINS DE OLIVEIRA, 213 CENTRO. 59990-000 Rafael Fernandes - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-6.19419839,-38.22557673
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CAMILO DE LELIS,24019348,RN,Riacho da Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA TERTULIANA MARIA DA CONCEICAO, 397 CENTRO. 59820-000 Riacho da Cruz - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-5.9354424,-37.9480813
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO SOARES DA SILVA,24019356,RN,Riacho da Cruz,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA SAO PEDRO, 956 CENTRO. 59820-000 Riacho da Cruz - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-5.9376335,-37.9500221
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL 12 DE OUTUBRO,24019470,RN,Rodolfo Fernandes,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAQUIM DANTAS, 22 PREDIO. CENTRO. 59830-000 Rodolfo Fernandes - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Médio,,-5.7901849,-38.06036
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL FRANCISCO REGIS FILHO,24019488,RN,Rodolfo Fernandes,Urbana,A escola não está em área de localização diferenciada,Pública,"MARIA DE LOURDES CAVALCANTE, 255 CENTRO. 59830-000 Rodolfo Fernandes - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.7900901,-38.0600639
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROF MANOEL HERCULANO ENS 1 E 2 GRAUS,24019682,RN,São Francisco do Oeste,Urbana,A escola não está em área de localização diferenciada,Pública,"R PADRE CARLOS, 64 CENTRO. 59908-000 São Francisco do Oeste - RN.",(84) 999854953,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",,-5.998501964,-38.16653894
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL AMERICO HOLANDA,24019852,RN,Severiano Melo,Rural,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO HOLANDA, 250 GENILDO MELO. 59856-000 Severiano Melo - RN.",(84) 999599415,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-5.7647046,-38.018327
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL SEVERIANO MELO,24019887,RN,Severiano Melo,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 7 DE SETEMBRO, 277 GENILDO MELO. 59856-000 Severiano Melo - RN.",(84) 33722131,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-5.7814294,-37.9558532
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOSE CLAUDIO ALVES,24020400,RN,Taboleiro Grande,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOAQUIM PEREIRA, CENTRO. 59840-000 Taboleiro Grande - RN.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação de Jovens Adultos",,-5.9278592,-38.0429219
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ACADEMICO MAURO ABRANTES,24020648,RN,Tenente Ananias,Urbana,A escola não está em área de localização diferenciada,Pública,"R JOSE GERMANO DA SILVEIRA, 29 CENTRO. 59955-000 Tenente Ananias - RN.",(84) 33862343,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,,-6.47054594,-38.17936225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DEMOCRITO DE SOUSA,24020664,RN,Tenente Ananias,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA ANTONIO FORTUNATO DOS SANTOS, 570 OLINTOS. 59955-000 Tenente Ananias - RN.",(84) 33862450,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-6.46548,-38.18033
